127.0.0.1 - - [27/Apr/2022:16:18:42 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:18:47 -0500] "GET /HibernateCrudCelular/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:18:47 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:19:49 -0500] "GET /HibernateCrudCelular/hibernateCrudCelular/CelularWS/listar HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:19:57 -0500] "OPTIONS /HibernateCrudCelular/hibernateCrudCelular/CelularWS/listar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:19:58 -0500] "GET /HibernateCrudCelular/hibernateCrudCelular/CelularWS/listar HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:20:52 -0500] "OPTIONS /HibernateCrudCelular/hibernateCrudCelular/CelularWS/guardar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:20:52 -0500] "POST /HibernateCrudCelular/hibernateCrudCelular/CelularWS/guardar HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:20:52 -0500] "OPTIONS /HibernateCrudCelular/hibernateCrudCelular/CelularWS/listar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:20:53 -0500] "GET /HibernateCrudCelular/hibernateCrudCelular/CelularWS/listar HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:21:36 -0500] "OPTIONS /HibernateCrudCelular/hibernateCrudCelular/CelularWS/guardar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:21:36 -0500] "POST /HibernateCrudCelular/hibernateCrudCelular/CelularWS/guardar HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:21:36 -0500] "OPTIONS /HibernateCrudCelular/hibernateCrudCelular/CelularWS/listar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:21:36 -0500] "GET /HibernateCrudCelular/hibernateCrudCelular/CelularWS/listar HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:23:22 -0500] "OPTIONS /HibernateCrudCelular/hibernateCrudCelular/CelularWS/guardar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:23:22 -0500] "POST /HibernateCrudCelular/hibernateCrudCelular/CelularWS/guardar HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:23:22 -0500] "OPTIONS /HibernateCrudCelular/hibernateCrudCelular/CelularWS/listar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:23:22 -0500] "GET /HibernateCrudCelular/hibernateCrudCelular/CelularWS/listar HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:24:41 -0500] "OPTIONS /HibernateCrudCelular/hibernateCrudCelular/CelularWS/guardar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:24:42 -0500] "POST /HibernateCrudCelular/hibernateCrudCelular/CelularWS/guardar HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:24:42 -0500] "OPTIONS /HibernateCrudCelular/hibernateCrudCelular/CelularWS/listar HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:24:42 -0500] "GET /HibernateCrudCelular/hibernateCrudCelular/CelularWS/listar HTTP/1.1" 200 471
